epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.167,1.43558,3.07139,1.30075,0.00318,0.95402,0.12389,0.05872,1.32247,3.79444,1.17124,0.00042,0.00042,0.00042
2,633.53,1.42174,2.04663,1.21596,0.0031,0.93103,0.44045,0.20523,1.43798,3.58517,1.20894,0.000842972,0.000842972,0.000842972
3,946.761,1.47136,1.8737,1.28949,0.34458,0.21839,0.27152,0.10895,1.59678,3.32802,1.39649,0.00124852,0.00124852,0.00124852
4,1265.92,1.41313,1.73585,1.24939,0.16537,0.42529,0.12158,0.05071,1.66979,3.43444,1.59778,0.00163664,0.00163664,0.00163664
5,1578.04,1.4877,1.62392,1.28737,0.49258,0.61373,0.42441,0.22125,1.59605,2.53,1.47371,0.0018416,0.0018416,0.0018416
6,1891.04,1.44426,1.48622,1.29413,0.7563,0.71343,0.80618,0.338,1.7661,1.81992,1.4657,0.001802,0.001802,0.001802
7,2202.32,1.46973,1.39836,1.29513,0.70256,0.5973,0.5536,0.24724,1.84871,2.37155,1.57283,0.0017624,0.0017624,0.0017624
8,2515.89,1.45321,1.41254,1.29519,0.83957,0.72183,0.78076,0.41539,1.55591,1.50406,1.35728,0.0017228,0.0017228,0.0017228
9,2826.29,1.4707,1.30887,1.2889,0.85705,0.75806,0.79648,0.39106,1.5871,1.72677,1.39896,0.0016832,0.0016832,0.0016832
10,3146.19,1.40297,1.23191,1.25364,0.81238,0.8046,0.81383,0.43392,1.55315,1.47488,1.36265,0.0016436,0.0016436,0.0016436
11,3464.59,1.38187,1.10549,1.23083,0.72148,0.78161,0.75162,0.38967,1.56005,1.88386,1.38931,0.001604,0.001604,0.001604
12,3779.15,1.40787,1.09855,1.22009,0.88251,0.77011,0.87174,0.46782,1.53546,1.20025,1.31497,0.0015644,0.0015644,0.0015644
13,4090.44,1.33916,1.07028,1.22775,0.83318,0.83908,0.89789,0.51656,1.41261,1.08887,1.25414,0.0015248,0.0015248,0.0015248
14,4407.51,1.30428,0.9888,1.18975,0.92685,0.78161,0.87379,0.48648,1.49608,1.12216,1.31547,0.0014852,0.0014852,0.0014852
15,4716.82,1.31099,0.93814,1.20327,0.90268,0.85297,0.916,0.51017,1.45677,1.01788,1.28927,0.0014456,0.0014456,0.0014456
16,5031.67,1.31894,0.96326,1.21295,0.83646,0.82308,0.87537,0.48807,1.43113,1.1084,1.31163,0.001406,0.001406,0.001406
17,5336.9,1.27155,0.9467,1.16666,0.813,0.84953,0.88198,0.47862,1.46139,0.96237,1.27847,0.0013664,0.0013664,0.0013664
18,5639.32,1.2695,0.94386,1.18366,0.91958,0.78863,0.87979,0.47477,1.5375,1.07245,1.31249,0.0013268,0.0013268,0.0013268
19,5942.66,1.30635,0.91318,1.19665,0.83404,0.87356,0.87815,0.49951,1.33938,0.96674,1.23436,0.0012872,0.0012872,0.0012872
20,6242,1.25871,0.9075,1.15008,0.79244,0.85057,0.86333,0.48279,1.46117,0.99437,1.27003,0.0012476,0.0012476,0.0012476
21,6547.46,1.28521,0.87559,1.18705,0.86043,0.85057,0.86027,0.51792,1.40328,0.86887,1.25613,0.001208,0.001208,0.001208
22,6850.89,1.25283,0.88621,1.18305,0.89807,0.81025,0.88451,0.50965,1.46672,0.93447,1.28942,0.0011684,0.0011684,0.0011684
23,7158.24,1.22773,0.8486,1.16825,0.86839,0.86207,0.88643,0.50575,1.43878,0.92542,1.25599,0.0011288,0.0011288,0.0011288
24,7463.78,1.19917,0.82822,1.16278,0.8389,0.85057,0.89153,0.52737,1.3764,0.90506,1.25025,0.0010892,0.0010892,0.0010892
25,7769.69,1.20064,0.78444,1.13709,0.86466,0.88128,0.88752,0.52664,1.38668,0.90103,1.24296,0.0010496,0.0010496,0.0010496
26,8084.34,1.19149,0.75511,1.14277,0.87413,0.87811,0.89213,0.53879,1.36326,0.86356,1.2326,0.00101,0.00101,0.00101
27,8389.85,1.22012,0.78579,1.18511,0.84915,0.84113,0.88478,0.52155,1.40014,0.89161,1.22381,0.0009704,0.0009704,0.0009704
28,8700.12,1.24939,0.77961,1.14298,0.92035,0.79689,0.88898,0.50917,1.45881,0.87056,1.29417,0.0009308,0.0009308,0.0009308
29,9007.81,1.30875,0.80104,1.20233,0.91133,0.7931,0.88728,0.47267,1.55911,0.88623,1.28591,0.0008912,0.0008912,0.0008912
30,9320.87,1.21615,0.78074,1.1499,0.91634,0.81609,0.85178,0.48971,1.39088,0.87646,1.28248,0.0008516,0.0008516,0.0008516
31,9625.97,1.21754,0.80165,1.14556,0.93601,0.84064,0.91838,0.52879,1.42123,0.80765,1.26736,0.000812,0.000812,0.000812
32,9935.86,1.15408,0.73149,1.10894,0.88316,0.89655,0.9004,0.5135,1.41697,0.80145,1.22966,0.0007724,0.0007724,0.0007724
33,10245.5,1.13595,0.71301,1.11931,0.92414,0.81609,0.90983,0.50942,1.44,0.8191,1.24696,0.0007328,0.0007328,0.0007328
34,10562.2,1.09047,0.67905,1.10721,0.87495,0.85057,0.87967,0.54262,1.35494,0.86281,1.25087,0.0006932,0.0006932,0.0006932
35,10884.2,1.0774,0.67295,1.12738,0.87495,0.83908,0.86495,0.50087,1.42164,0.82263,1.28075,0.0006536,0.0006536,0.0006536
36,11207,1.1251,0.67072,1.12356,0.85812,0.82759,0.85009,0.46359,1.52464,0.93756,1.27977,0.000614,0.000614,0.000614
37,11527,1.07666,0.64689,1.08168,0.89992,0.82684,0.87543,0.52495,1.37051,0.84836,1.23806,0.0005744,0.0005744,0.0005744
38,11847.3,1.06977,0.65191,1.09434,0.86167,0.82759,0.88864,0.4987,1.44795,0.81112,1.26959,0.0005348,0.0005348,0.0005348
39,12170.1,1.06022,0.64053,1.07574,0.94338,0.8046,0.912,0.50491,1.48585,0.82975,1.29842,0.0004952,0.0004952,0.0004952
40,12494.3,1.05456,0.62288,1.08261,0.93568,0.83611,0.92071,0.51312,1.43594,0.77978,1.27691,0.0004556,0.0004556,0.0004556
41,12810.3,1.0468,0.65089,1.10677,0.92398,0.85057,0.91341,0.51156,1.46204,0.77536,1.2926,0.000416,0.000416,0.000416
42,13128.7,1.02192,0.6181,1.07927,0.89987,0.82638,0.90082,0.5121,1.42983,0.77939,1.26076,0.0003764,0.0003764,0.0003764
43,13449.2,1.02356,0.60315,1.06873,0.91475,0.8634,0.92195,0.52289,1.4213,0.73667,1.27895,0.0003368,0.0003368,0.0003368
44,13774.5,0.99929,0.58449,1.06209,0.89885,0.85057,0.90235,0.54285,1.37226,0.73666,1.26502,0.0002972,0.0002972,0.0002972
45,14100.1,1.0032,0.57374,1.06145,0.90668,0.81609,0.90203,0.53476,1.38643,0.74669,1.26403,0.0002576,0.0002576,0.0002576
46,14421.3,0.95093,0.55518,1.04374,0.90864,0.8003,0.89223,0.52751,1.39783,0.74587,1.26957,0.000218,0.000218,0.000218
47,14743.4,0.94832,0.55324,1.03821,0.85444,0.87717,0.91176,0.52132,1.42197,0.75508,1.2791,0.0001784,0.0001784,0.0001784
48,15063.9,0.92191,0.53723,1.02884,0.89073,0.84328,0.88829,0.53668,1.36113,0.73653,1.2345,0.0001388,0.0001388,0.0001388
49,15365.5,0.94602,0.53195,1.03162,0.88625,0.86207,0.9069,0.53745,1.35671,0.74082,1.22998,9.92e-05,9.92e-05,9.92e-05
